time;BPM
00:00:11;2.17
00:00:12;8.10
00:00:12;19.85
00:00:13;39.23
00:00:14;55.42
00:00:15;69.83
00:00:15;78.32
00:00:16;80.38
00:00:03;2.25
00:00:03;8.88
00:00:04;21.83
00:00:05;42.90
00:00:06;60.77
00:00:06;73.70
00:00:07;80.07
00:00:08;78.95
00:00:09;78.30
00:00:12;78.58
00:00:13;80.50
00:00:14;81.18
00:00:15;79.15
00:00:16;75.18
00:00:16;73.35
00:00:17;73.15
00:00:18;75.75
00:00:18;80.70
00:00:20;81.25
00:00:21;79.68
00:00:21;77.50
00:00:22;73.17
00:00:23;73.30
00:00:24;73.65
00:00:24;74.97
00:00:25;77.35
00:00:26;76.38
00:00:26;77.57
00:00:29;80.00
00:00:29;83.60
00:00:34;86.98
00:00:34;87.47
00:00:35;85.30
00:00:36;80.23
00:00:37;75.72
00:00:38;72.85
00:00:38;71.80
00:00:48;74.08
00:00:49;75.25
00:00:50;75.53
00:00:51;75.00
00:00:51;73.85
00:00:52;75.45
00:00:56;77.55
00:00:57;79.20
00:00:58;77.55
00:00:59;71.13
00:00:59;65.38
00:01:04;62.88
00:01:11;65.10
00:01:12;72.05
00:01:13;78.90
00:01:14;81.18
00:01:14;83.05
00:01:17;82.88
00:01:18;83.30
00:01:19;83.35
00:01:20;80.05
00:01:23;74.65
00:01:23;73.00
00:01:28;75.95
00:01:30;82.70
00:01:31;91.50
00:01:32;94.65
00:01:32;91.60
00:01:33;87.28
00:01:34;81.20
00:01:35;76.35
00:01:35;75.70
00:01:36;75.00
00:01:37;75.90
00:01:38;76.05
00:01:39;75.13
00:01:40;73.45
00:01:41;71.70
00:01:41;70.85
00:01:42;72.90
00:01:43;74.93
00:01:44;77.70
00:01:45;78.75
00:01:45;75.67
00:01:46;73.32
00:01:47;70.60
00:01:48;69.78
00:01:49;71.75
00:01:49;72.32
00:01:50;72.88
00:01:51;74.07
00:01:52;74.53
00:01:53;75.78
00:01:53;77.45
00:01:54;77.90
00:01:55;77.88
00:01:56;78.13
00:01:56;77.88
00:01:57;77.63
00:01:58;79.07
00:01:58;80.20
00:01:59;80.80
00:02:00;82.13
00:02:01;82.20
00:02:04;82.00
00:02:05;82.50
00:02:05;83.25
00:02:06;84.28
00:02:07;85.60
00:02:07;87.13
00:02:08;87.10
00:02:09;86.15
00:02:10;83.85
00:02:10;80.65
00:02:11;78.70
00:02:12;77.22
00:02:13;77.28
00:02:14;77.95
00:02:14;78.25
00:02:15;78.38
00:02:16;77.82
00:02:17;77.00
00:02:17;76.85
00:02:18;77.30
00:02:19;78.65
00:02:20;80.60
00:02:20;80.60
00:02:21;80.93
00:02:22;80.88
00:02:23;80.25
00:02:23;81.13
00:02:24;80.85
00:02:25;79.98
00:02:26;78.28
00:02:27;75.33
00:02:27;73.60
00:02:28;74.55
00:02:35;81.13
00:02:36;84.93
00:02:38;88.78
00:02:39;86.68
00:02:40;79.43
00:02:46;77.30
00:02:49;74.20
00:02:50;79.83
00:02:51;85.45
00:02:52;86.15
00:02:55;87.77
00:02:56;84.55
00:02:57;81.43
00:02:57;83.15
00:02:58;84.28
00:02:59;84.80
00:02:59;85.53
00:03:00;83.50
00:03:01;82.65
00:03:02;83.00
00:03:02;83.13
00:03:03;82.95
00:03:04;82.10
00:03:04;81.70
00:03:05;82.20
00:03:06;84.80
00:03:07;87.48
00:03:07;87.93
00:03:08;86.35
00:03:09;83.23
00:03:09;81.10
00:03:10;80.85
00:03:11;82.72
00:03:12;85.43
00:03:12;86.00
00:03:13;87.22
00:03:14;86.68
00:03:15;85.40
00:03:15;84.93
00:03:19;81.65
00:03:20;79.72
00:03:23;77.00
00:03:24;69.68
00:03:24;67.30
00:03:28;66.13
00:03:28;71.33
00:03:29;79.43
00:03:30;81.05
00:03:31;81.58
00:03:32;77.83
00:03:33;74.17
00:03:33;73.40
00:03:34;71.98
00:03:35;71.03
00:03:36;72.88
00:03:36;74.85
00:03:37;77.50
00:03:38;79.13
00:03:39;79.33
00:03:40;78.63
00:03:40;76.70
00:03:41;75.67
00:03:42;74.28
00:03:42;75.15
00:03:43;78.32
00:03:44;80.75
00:03:45;83.00
00:03:46;82.15
00:03:46;78.28
00:03:47;75.25
00:03:48;73.82
00:03:49;73.70
00:03:50;74.50
00:03:51;74.05
00:03:51;73.13
00:03:52;73.53
00:03:53;74.75
00:03:53;76.32
00:03:54;77.95
00:03:55;79.42
00:03:56;81.00
00:03:57;80.55
00:03:57;78.85
00:03:58;77.95
00:03:59;80.07
00:04:07;82.38
00:04:08;86.00
00:04:13;88.35
00:04:14;86.00
00:04:17;91.53
00:04:22;93.30
00:04:22;91.25
00:04:23;90.30
00:04:24;83.43
00:04:25;81.43
00:04:25;82.10
00:04:26;80.97
00:04:27;79.35
00:04:28;76.53
00:04:29;74.07
00:04:29;73.03
00:04:30;73.75
00:04:34;75.27
00:04:39;78.45
00:04:40;81.90
00:04:41;83.68
00:04:41;82.22
00:04:42;79.70
00:04:43;78.05
00:04:44;76.25
00:04:44;76.30
00:04:45;76.45
00:04:46;76.70
00:04:47;77.13
00:04:47;77.60
00:04:48;78.18
00:04:50;78.33
00:04:50;78.13
00:04:51;77.38
00:04:51;76.55
00:04:56;80.20
00:05:00;82.93
00:05:00;86.30
00:05:01;87.98
00:05:02;87.73
00:05:02;88.30
00:05:03;85.82
00:05:04;84.18
00:05:05;78.78
00:05:06;75.03
00:05:06;75.18
00:05:07;76.22
00:05:08;78.55
00:05:09;79.05
00:05:10;77.90
00:05:10;76.30
00:05:11;74.68
00:05:12;74.70
00:05:13;74.93
00:05:13;74.60
00:05:14;74.82
00:05:15;75.38
00:05:15;78.00
00:05:19;82.72
00:05:20;87.58
00:05:21;91.15
00:05:21;89.45
00:05:22;85.18
00:05:23;80.05
00:05:24;75.98
00:05:24;76.40
00:05:25;78.20
00:05:26;79.33
00:05:27;79.30
00:05:28;79.00
00:05:28;79.58
00:05:29;79.08
00:05:33;79.78
00:05:34;80.80
00:05:35;76.00
00:05:36;71.33
00:05:38;66.05
00:05:39;60.50
00:05:40;59.70
00:05:41;63.60
00:05:42;66.53
00:05:42;70.00
00:05:43;74.95
00:05:44;78.53
00:05:45;83.13
00:05:46;81.88
00:05:47;79.10
00:05:48;73.72
00:05:48;67.30
00:05:49;69.52
00:05:50;72.63
00:05:51;76.80
00:05:52;79.43
00:05:52;78.60
00:05:53;76.90
00:05:54;75.60
00:05:54;78.85
00:05:55;81.30
00:05:56;83.70
00:05:57;84.05
00:05:57;83.18
00:05:58;83.40
00:05:59;81.93
00:05:59;84.53
00:06:03;87.05
00:06:07;86.85
00:06:08;86.97
00:06:09;84.57
00:06:10;79.85
00:06:13;78.45
00:06:14;78.18
00:06:17;77.18
00:06:18;77.57
00:06:19;76.03
00:06:20;73.40
00:06:21;72.45
00:06:22;71.67
00:06:22;70.90
00:06:23;72.58
00:06:24;74.95
00:06:24;78.68
00:06:25;83.55
00:06:26;87.38
00:06:27;88.83
00:06:28;85.78
00:06:28;81.90
00:06:30;79.72
00:06:31;78.60
00:06:32;84.53
00:06:32;89.43
00:06:33;92.58
00:06:38;92.50
00:06:39;86.97
00:06:40;80.98
00:06:41;73.75
00:06:41;70.35
00:06:42;69.40
00:06:43;70.63
00:06:44;72.68
00:06:45;73.58
00:06:46;72.63
00:06:47;70.95
00:06:47;70.15
00:06:48;69.60
00:06:49;69.80
00:06:50;71.30
00:06:51;71.75
00:06:52;71.80
00:06:53;71.20
00:06:54;67.75
00:06:54;65.95
00:06:55;66.13
00:06:56;66.82
00:06:57;70.40
00:06:57;73.45
00:06:58;75.15
00:06:59;78.20
00:07:00;80.50
00:07:00;82.70
00:07:01;83.50
00:07:05;83.80
00:07:06;84.95
00:07:07;84.63
00:07:08;82.42
00:07:10;80.03
00:07:11;77.45
00:07:11;77.55
00:07:14;81.25
00:07:15;84.05
00:07:16;83.42
00:07:17;79.03
00:07:17;75.47
00:07:18;72.60
00:07:19;72.98
00:07:20;76.20
00:07:21;76.90
00:07:21;76.30
00:07:22;74.03
00:07:23;70.75
00:07:24;69.08
00:07:25;69.78
00:07:25;71.70
00:07:26;73.78
00:07:27;75.77
00:07:28;75.22
00:07:29;73.90
00:07:30;72.55
00:07:31;70.32
00:07:32;68.08
00:07:33;65.65
00:07:33;64.47
00:07:34;64.28
00:07:35;65.93
00:07:36;69.15
00:07:37;71.00
00:07:37;72.05
00:07:38;73.13
00:07:39;73.78
00:07:40;74.45
00:07:41;75.65
00:07:41;76.05
00:07:42;75.80
00:07:43;76.05
00:07:44;75.93
00:07:49;75.27
00:07:50;73.80
00:07:53;71.25
00:07:54;69.57
00:07:55;69.80
00:07:56;72.03
00:07:56;75.22
00:07:57;75.88
00:07:58;75.55
00:07:59;75.10
00:08:00;73.75
00:08:00;74.15
00:08:01;75.13
00:08:02;75.78
00:08:03;75.67
00:08:04;75.53
00:08:04;74.82
00:08:07;74.03
00:08:08;76.30
00:08:09;79.30
00:08:12;80.13
00:08:13;81.22
00:08:13;81.43
00:08:16;81.90
00:08:17;83.30
00:08:18;83.93
00:08:19;80.92
00:08:19;78.85
00:08:20;79.45
00:08:21;81.17
00:08:21;86.83
00:08:22;88.05
00:08:23;87.93
00:08:23;86.85
00:08:24;84.33
00:08:25;82.60
00:08:26;80.48
00:08:26;78.90
00:08:27;78.55
00:08:28;80.30
00:08:29;81.28
00:08:29;81.98
00:08:30;82.50
00:08:31;82.50
00:08:32;82.72
00:08:33;80.82
00:08:33;77.70
00:08:34;74.48
00:08:35;71.35
00:08:36;70.25
00:08:37;69.43
00:08:38;69.10
00:08:38;69.78
00:08:39;70.95
00:08:45;71.97
00:08:46;73.45
00:08:47;74.80
00:08:50;75.22
00:08:50;76.20
00:08:51;78.23
00:08:52;81.40
00:08:52;83.75
00:09:02;85.13
00:09:03;83.63
00:09:04;79.30
00:09:04;76.10
00:09:05;75.00
00:09:06;73.75
00:09:07;72.85
00:09:08;72.82
00:09:09;71.28
00:09:09;71.87
00:09:10;73.07
00:09:11;72.90
00:09:12;73.30
00:09:13;72.70
00:09:13;73.45
00:09:14;74.25
00:09:15;74.40
00:09:16;74.80
00:09:17;74.30
00:09:17;73.85
00:09:18;74.25
00:09:19;74.98
00:09:20;76.15
00:09:20;78.32
00:09:21;79.88
00:09:22;80.55
00:09:22;80.95
00:09:23;82.95
00:09:24;85.47
00:09:25;85.80
00:09:26;84.03
00:09:27;78.15
00:09:28;71.57
00:09:29;67.83
00:09:29;65.60
00:09:30;65.95
00:09:31;66.80
00:09:32;66.97
00:09:33;67.85
00:09:34;67.25
00:09:35;66.48
00:09:36;66.20
00:09:36;66.03
00:09:37;68.03
00:09:38;70.90
00:09:39;73.57
00:09:40;75.58
00:09:41;75.90
00:09:42;74.10
00:09:42;70.97
00:09:43;68.25
00:09:44;65.25
00:09:45;64.93
00:09:46;67.00
00:09:46;70.28
00:09:47;75.60
00:09:48;80.10
00:09:48;83.28
00:09:49;84.88
00:09:50;84.43
00:09:51;83.78
00:09:51;83.92
00:09:52;83.10
00:09:53;82.93
00:09:54;82.10
00:09:54;79.97
00:09:55;78.63
00:09:56;77.35
00:09:57;76.28
00:09:58;75.70
00:09:59;74.70
00:09:59;72.35
00:10:00;70.28
00:10:01;68.70
00:10:02;68.10
00:10:03;68.58
00:10:04;68.73
00:10:05;69.13
00:10:05;70.10
00:10:06;71.38
00:10:07;73.20
00:10:08;74.65
00:10:09;74.50
00:10:09;73.50
00:10:10;72.42
00:10:11;71.60
00:10:12;72.57
00:10:13;74.45
00:10:13;76.35
00:10:14;77.12
00:10:15;76.58
00:10:16;75.45
00:10:16;74.45
00:10:17;75.13
00:10:18;76.73
00:10:19;79.00
00:10:19;80.55
00:10:20;80.13
00:10:28;78.68
00:10:29;76.90
00:10:30;75.70
00:10:30;76.50
00:10:31;78.05
00:10:32;80.13
00:10:33;80.83
00:10:33;80.80
00:10:34;80.55
00:10:35;78.68
00:10:36;76.95
00:10:40;73.80
00:10:41;69.68
